Date,Open,High,Low,Close,Adj Close,Volume
12/1/2000,30.46875,32.65625,29.03125,31.25,21.344528,1302300
1/1/2001,31.21875,31.6875,29.1875,31.370001,21.515694,1263400
2/1/2001,31.299999,31.34,28.889999,29.49,20.226261,775700
3/1/2001,29.280001,30.85,24.5,26.59,18.23724,764300
4/1/2001,26.59,30.24,25.24,29.629999,20.380173,362800
5/1/2001,29.459999,32.470001,29.32,30.870001,21.233074,548200
6/1/2001,30.9,31.49,28.809999,28.9,19.878067,788700
7/1/2001,28.950001,29.530001,27.82,28.84,19.879768,605900
8/1/2001,29.1,29.74,27.33,27.85,19.197346,569300
9/1/2001,27.719999,28.26,20.4,23.67,16.316029,785400
10/1/2001,23.700001,25.75,23.17,24.09,16.675304,638700
11/1/2001,24.15,27.25,23.799999,26.5,18.343525,1200400
12/1/2001,26.370001,28.120001,26.049999,27.700001,19.174185,7020800
1/1/2002,27.6,27.99,24.35,25.950001,17.962807,7274400
2/1/2002,25.940001,27.25,24.120001,26.6,18.412745,10132400
3/1/2002,26.799999,28.780001,26.610001,27.24,18.855753,3140700
4/1/2002,26.98,27.75,24.65,25.360001,17.60573,4521000
5/1/2002,25.299999,26.35,24.77,25.469999,17.682095,2421200
6/1/2002,25.6,25.6,22.700001,23.85,16.557446,1814600
7/1/2002,23.969999,24.01,19.1,22.5,15.658152,1912200
8/1/2002,22.43,23.34,20.5,22.15,15.414575,996600
9/1/2002,21.76,22.219999,19.02,19.52,13.584311,2169300
10/1/2002,19.639999,21.08,17.75,20.48,14.306364,4566900
11/1/2002,20.379999,21.75,19.969999,21.549999,15.05382,2246600
12/1/2002,21.85,22.09,20.16,20.59,14.383212,3951900
1/1/2003,20.83,21.559999,19.15,19.48,13.682835,2421600
2/1/2003,19.68,19.77,18.35,19.18,13.472113,2051300
3/1/2003,19.389999,20.58,17.85,19.309999,13.563423,9655900
4/1/2003,19.450001,21.4,19.200001,21.4,15.088903,3861400
5/1/2003,21.4,22.18,20.85,21.98,15.497849,5550500
6/1/2003,22.200001,23.59,21.530001,22.389999,15.786938,5248000
7/1/2003,22.219999,23.450001,21.309999,23.129999,16.344452,12303800
8/1/2003,23.15,24.4,22.379999,24.030001,16.980423,10763100
9/1/2003,24.4,24.67,23.049999,23.290001,16.45752,11721300
10/1/2003,23.4,24.879999,23.35,24.73,17.537117,4399000
11/1/2003,24.879999,25.299999,24.450001,25.219999,17.884592,5503100
12/1/2003,25.4,27.049999,25.299999,26.76,18.976671,9473500
1/1/2004,27,27.950001,26.629999,27.030001,19.262325,12431600
2/1/2004,26.83,27.9,25.84,26.83,19.119795,10641400
3/1/2004,26.860001,27.139999,25.16,26.41,18.820492,18209100
4/1/2004,26.530001,27.450001,26.4,26.4,18.878765,15286000
5/1/2004,26.35,27.219999,25.66,27.049999,19.343586,10210900
6/1/2004,26.9,28.780001,26.85,28.66,20.494896,12655700
7/1/2004,28.780001,28.780001,27.26,27.860001,19.964289,17556600
8/1/2004,27.76,28.049999,26.549999,27.879999,19.978617,14738000
9/1/2004,27.950001,28.639999,27.6,28.379999,20.33691,13690100
10/1/2004,28.200001,29,27.5,28.67,20.616655,17722800
11/1/2004,28.73,30.889999,28.59,30.469999,21.911032,14105000
12/1/2004,30.6,31.450001,30.25,31.07,22.342485,10806900
1/1/2005,31.25,31.290001,29.389999,30.200001,21.826323,11661600
2/1/2005,30.299999,30.85,29.809999,30.549999,22.079271,8389400
3/1/2005,30.700001,31.5,29.9,30.43,21.992546,14746700
4/1/2005,30.51,30.65,28.799999,29.32,21.264559,17582900
5/1/2005,29.49,30.780001,28.959999,30.25,21.939045,28694000
6/1/2005,30.42,30.629999,29.120001,29.379999,21.308067,16131300
7/1/2005,29.6,30.76,28.83,30.5,22.175447,16297100
